market_date,mean_sentiment,tweet_count
2020-05-01,-0.28677000698040833,33
2020-05-02,0.04709098190069198,15
2020-05-03,-0.15565861389040947,14
2020-05-04,-0.46887005280171123,21
2020-05-05,-0.22250093224768838,24
2020-05-06,-0.156487856603538,24
2020-05-07,-0.0874907051158302,34
2020-05-08,0.035338466563685375,22
2020-05-09,-0.2574599790184394,23
2020-05-10,-0.2393673387440768,11
2020-05-11,-0.32161110565066336,35
2020-05-12,-0.11798817451511111,21
2020-05-13,-0.2189174990423701,11
2020-05-14,-0.11339114321809676,36
2020-05-15,-0.07941462266209878,19
2020-05-16,-0.044049570869122236,14
2020-05-17,-0.2558535442042809,13
2020-05-18,-0.27926939116282895,22
2020-05-19,-0.26781228009392233,17
2020-05-20,-0.352618684095365,27
2020-05-21,-0.09452840075667562,29
2020-05-22,-0.5087991557084024,16
2020-05-23,-0.16300372104160488,16
2020-05-24,-0.17941732114801803,12
2020-05-25,-0.25796488858759403,12
2020-05-26,-0.2624265335757157,29
2020-05-27,-0.24848672901482685,23
2020-05-28,-0.2581180165888685,33
2020-05-29,-0.13763330286989608,18
2020-05-30,-0.14016340222013624,19
2020-05-31,-0.202809197937741,17
2020-06-01,-0.23985734954476357,4
