market_date,text,finbert_score
2020-05-01,are you binge watching shows on quibi despite its $2bn budget the streaming platform is surprisingly unpopular,0.40866971015930176
2020-05-01,in the latest behind the money podcast we talk about how the us government s small business bailout programme has had problems from the start with complaints that large companies were getting the money promised to smaller ones,-0.9473676085472107
2020-05-01,the us coronavirus death toll increased by more than 2 000 for the third straight day boeing will not seek government funding and south korea suffered its first trade deficit in eight years follow our live coverage,0.1595994532108307
2020-05-01,when pressed on what had given him the confidence to claim that covid 19 originated from a scientific laboratory in wuhan donald trump said i m not allowed to tell you that,0.03703068569302559
2020-05-01,keeping amazon workers healthy and products moving could cost $4bn or more wiping out any jump in sales the ecommerce company warned as its stock closed thursday at an all time high,-0.4838171601295471
2020-05-01,it s the question on everyone s mind when and how will lockdowns end readers had the opportunity on thursday to ask ft journalists here are the highlights,-0.024506380781531334
2020-05-01,,0.142511248588562
2020-05-01,coronavirus is killing black caribbean people at almost three times the rate of white people in england s hospitals and not because as in the us the victims live in areas where the virus was most prevalent,-0.7214356064796448
2020-05-01,boris johnson pledged to reveal a road map next week for britain to leave coronavirus lockdown but warned that he would not lift restrictions too soon and risk a second spike of infections,-0.6697683930397034
2020-05-01,royal bank of scotland s bad debt provisions increased almost tenfold to 802m in the first quarter as the bank braced for the fallout of the coronavirus pandemic,0.9158557057380676
2020-05-01,european farmers are facing butter and beef mountains and wine and milk lakes as coronavirus devastates demand they re asking their neighbours to help by filling their plates,-0.8903865814208984
2020-05-01,the payments group had predicted vindication from a special audit it did not arrive,-0.14076894521713257
2020-05-01,federal reserve chairman jay powell dispelled investors hopes for a quick economic rebound from the coronavirus crisis the chances are that it won t go right back to where we were,-0.06966772675514221
2020-05-01,outbreak of coronavirus and the collapse of economic growth for the first time in decades had dashed the communist party s hopes of declaring victory by the end of this year says economists,-0.921480119228363
2020-05-01,how close is the uk to easing coronavirus lockdown,0.17272524535655975
2020-05-01,boris johnson s government is set to issue detailed workplace by workplace guidance on how britain can safely go back to work as the prime minister prepares to announce that coronavirus is being contained,0.06365752220153809
2020-05-01,norway will slash oil output by 13% the first time that western europe s largest crude producer had reduced production in 18 years,-0.9596479535102844
2020-05-01,as a result of the wework losses softbank said it now expects a net loss of 900bn for the fiscal year,-0.9109907746315002
2020-05-01,as coronavirus has swept across the us it has also ravaged the country s healthcare system the us spends far more on healthcare than any other country $3 6tn a year more than 17% of its gdp,-0.7371698021888733
2020-05-01,autocrats are not immune to the coronavirus writes philip stephens the ft s chief political commentator xi jinping and vladimir putin have proven to be the biggest losers from the pandemic,-0.04744967818260193
2020-05-01,police in hong kong cited social distancing laws to break up pro democracy protests on two consecutive days this week as the easing of coronavirus restrictions raised the prospect of renewed demonstrations,-0.7789732217788696
2020-05-01,lg display posted a record loss for the fiscal year while samsung electronics plans to pull out of the large lcd panel business entirely,-0.9597353935241699
2020-05-01,the slump in energy demand this year will be far greater than the impact of the financial crisis leading to seven times as much demand destruction,-0.9193490743637085
2020-05-01,the diplomatic skirmish between beijing and canberra comes as tensions grow between china and western nations,-0.394573450088501
2020-05-01,discovered something new returned to an old favourite looking for a recommendation join ft film critic danny leigh for a live q amp a on the films to watch in lockdown at 12pm and 5pm on may 1,0.12007894366979599
2020-05-01,what are the latest figures the worldwide daily death toll rose by 5 801 on thursday bringing the total to 214 436,0.5204308032989502
2020-05-01,the word of the ruling family holds more weight than science for now america must live with government of the trumps by the trumps and for the trumps edward luce writes,0.03159048408269882
